"date","chart_id","series_id","series_name","country","value","axis","unit","source","source_url"
"2005-11-01","pmi_composite","pmi_ea","Europe","Euro Area",50.36,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2005-12-01","pmi_composite","pmi_ea","Europe","Euro Area",48.991,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-01-01","pmi_composite","pmi_ea","Europe","Euro Area",48.676,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-02-01","pmi_composite","pmi_ea","Europe","Euro Area",48.162,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-03-01","pmi_composite","pmi_ea","Europe","Euro Area",48.273,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-04-01","pmi_composite","pmi_ea","Europe","Euro Area",47.564,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-05-01","pmi_composite","pmi_ea","Europe","Euro Area",48.433,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-06-01","pmi_composite","pmi_ea","Europe","Euro Area",48.024,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-07-01","pmi_composite","pmi_ea","Europe","Euro Area",47.757,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-08-01","pmi_composite","pmi_ea","Europe","Euro Area",47.5,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-09-01","pmi_composite","pmi_ea","Europe","Euro Area",47.303,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-10-01","pmi_composite","pmi_ea","Europe","Euro Area",47.549,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-11-01","pmi_composite","pmi_ea","Europe","Euro Area",47.275,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2006-12-01","pmi_composite","pmi_ea","Europe","Euro Area",47.551,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-01-01","pmi_composite","pmi_ea","Europe","Euro Area",47.342,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-02-01","pmi_composite","pmi_ea","Europe","Euro Area",47.601,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-03-01","pmi_composite","pmi_ea","Europe","Euro Area",47.69,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-04-01","pmi_composite","pmi_ea","Europe","Euro Area",47.993,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-05-01","pmi_composite","pmi_ea","Europe","Euro Area",48.479,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-06-01","pmi_composite","pmi_ea","Europe","Euro Area",49.727,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-07-01","pmi_composite","pmi_ea","Europe","Euro Area",50.325,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-08-01","pmi_composite","pmi_ea","Europe","Euro Area",50.38,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-09-01","pmi_composite","pmi_ea","Europe","Euro Area",49.475,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-10-01","pmi_composite","pmi_ea","Europe","Euro Area",49.813,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-11-01","pmi_composite","pmi_ea","Europe","Euro Area",49.58,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2007-12-01","pmi_composite","pmi_ea","Europe","Euro Area",50.402,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-01-01","pmi_composite","pmi_ea","Europe","Euro Area",50.027,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-02-01","pmi_composite","pmi_ea","Europe","Euro Area",50.405,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-03-01","pmi_composite","pmi_ea","Europe","Euro Area",50.206,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-04-01","pmi_composite","pmi_ea","Europe","Euro Area",50.971,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-05-01","pmi_composite","pmi_ea","Europe","Euro Area",51.56,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-06-01","pmi_composite","pmi_ea","Europe","Euro Area",52.11,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-07-01","pmi_composite","pmi_ea","Europe","Euro Area",51.734,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-08-01","pmi_composite","pmi_ea","Europe","Euro Area",50.224,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-09-01","pmi_composite","pmi_ea","Europe","Euro Area",48.764,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-10-01","pmi_composite","pmi_ea","Europe","Euro Area",46.621,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-11-01","pmi_composite","pmi_ea","Europe","Euro Area",45.533,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2008-12-01","pmi_composite","pmi_ea","Europe","Euro Area",43.543,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-01-01","pmi_composite","pmi_ea","Europe","Euro Area",42.804,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-02-01","pmi_composite","pmi_ea","Europe","Euro Area",42.349,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-03-01","pmi_composite","pmi_ea","Europe","Euro Area",42.713,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-04-01","pmi_composite","pmi_ea","Europe","Euro Area",44.598,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-05-01","pmi_composite","pmi_ea","Europe","Euro Area",45.484,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-06-01","pmi_composite","pmi_ea","Europe","Euro Area",47.555,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-07-01","pmi_composite","pmi_ea","Europe","Euro Area",48.243,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-08-01","pmi_composite","pmi_ea","Europe","Euro Area",50.876,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-09-01","pmi_composite","pmi_ea","Europe","Euro Area",52.406,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-10-01","pmi_composite","pmi_ea","Europe","Euro Area",53.49,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-11-01","pmi_composite","pmi_ea","Europe","Euro Area",53.635,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2009-12-01","pmi_composite","pmi_ea","Europe","Euro Area",53.886,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-01-01","pmi_composite","pmi_ea","Europe","Euro Area",54.177,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-02-01","pmi_composite","pmi_ea","Europe","Euro Area",53.851,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-03-01","pmi_composite","pmi_ea","Europe","Euro Area",53.638,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-04-01","pmi_composite","pmi_ea","Europe","Euro Area",54.117,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-05-01","pmi_composite","pmi_ea","Europe","Euro Area",53.317,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-06-01","pmi_composite","pmi_ea","Europe","Euro Area",52.744,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-07-01","pmi_composite","pmi_ea","Europe","Euro Area",51.403,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-08-01","pmi_composite","pmi_ea","Europe","Euro Area",51.512,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-09-01","pmi_composite","pmi_ea","Europe","Euro Area",51.282,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-10-01","pmi_composite","pmi_ea","Europe","Euro Area",51.629,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-11-01","pmi_composite","pmi_ea","Europe","Euro Area",51.669,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2010-12-01","pmi_composite","pmi_ea","Europe","Euro Area",50.808,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-01-01","pmi_composite","pmi_ea","Europe","Euro Area",49.446,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-02-01","pmi_composite","pmi_ea","Europe","Euro Area",49.317,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-03-01","pmi_composite","pmi_ea","Europe","Euro Area",49.71,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-04-01","pmi_composite","pmi_ea","Europe","Euro Area",50.611,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-05-01","pmi_composite","pmi_ea","Europe","Euro Area",49.725,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-06-01","pmi_composite","pmi_ea","Europe","Euro Area",49.607,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-07-01","pmi_composite","pmi_ea","Europe","Euro Area",48.479,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-08-01","pmi_composite","pmi_ea","Europe","Euro Area",48.84,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-09-01","pmi_composite","pmi_ea","Europe","Euro Area",48.189,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-10-01","pmi_composite","pmi_ea","Europe","Euro Area",48.609,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-11-01","pmi_composite","pmi_ea","Europe","Euro Area",48.363,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2011-12-01","pmi_composite","pmi_ea","Europe","Euro Area",47.749,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-01-01","pmi_composite","pmi_ea","Europe","Euro Area",47.742,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-02-01","pmi_composite","pmi_ea","Europe","Euro Area",47.768,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-03-01","pmi_composite","pmi_ea","Europe","Euro Area",47.826,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-04-01","pmi_composite","pmi_ea","Europe","Euro Area",47.811,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-05-01","pmi_composite","pmi_ea","Europe","Euro Area",47.201,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-06-01","pmi_composite","pmi_ea","Europe","Euro Area",47.691,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-07-01","pmi_composite","pmi_ea","Europe","Euro Area",47.81,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-08-01","pmi_composite","pmi_ea","Europe","Euro Area",48.322,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-09-01","pmi_composite","pmi_ea","Europe","Euro Area",49.257,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-10-01","pmi_composite","pmi_ea","Europe","Euro Area",49.663,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-11-01","pmi_composite","pmi_ea","Europe","Euro Area",50.696,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2012-12-01","pmi_composite","pmi_ea","Europe","Euro Area",51.278,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-01-01","pmi_composite","pmi_ea","Europe","Euro Area",51.459,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-02-01","pmi_composite","pmi_ea","Europe","Euro Area",51.735,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-03-01","pmi_composite","pmi_ea","Europe","Euro Area",52.009,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-04-01","pmi_composite","pmi_ea","Europe","Euro Area",52.41,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-05-01","pmi_composite","pmi_ea","Europe","Euro Area",53.224,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-06-01","pmi_composite","pmi_ea","Europe","Euro Area",53.482,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-07-01","pmi_composite","pmi_ea","Europe","Euro Area",54.607,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-08-01","pmi_composite","pmi_ea","Europe","Euro Area",54.424,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-09-01","pmi_composite","pmi_ea","Europe","Euro Area",55.068,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-10-01","pmi_composite","pmi_ea","Europe","Euro Area",54.834,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-11-01","pmi_composite","pmi_ea","Europe","Euro Area",56.114,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2013-12-01","pmi_composite","pmi_ea","Europe","Euro Area",56.725,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-01-01","pmi_composite","pmi_ea","Europe","Euro Area",56.559,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-02-01","pmi_composite","pmi_ea","Europe","Euro Area",55.802,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-03-01","pmi_composite","pmi_ea","Europe","Euro Area",55.39,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-04-01","pmi_composite","pmi_ea","Europe","Euro Area",55.77,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-05-01","pmi_composite","pmi_ea","Europe","Euro Area",56.164,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-06-01","pmi_composite","pmi_ea","Europe","Euro Area",56.513,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-07-01","pmi_composite","pmi_ea","Europe","Euro Area",57.002,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-08-01","pmi_composite","pmi_ea","Europe","Euro Area",56.973,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-09-01","pmi_composite","pmi_ea","Europe","Euro Area",55.76,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-10-01","pmi_composite","pmi_ea","Europe","Euro Area",54.722,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-11-01","pmi_composite","pmi_ea","Europe","Euro Area",53.234,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2014-12-01","pmi_composite","pmi_ea","Europe","Euro Area",54.141,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-01-01","pmi_composite","pmi_ea","Europe","Euro Area",54.395,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-02-01","pmi_composite","pmi_ea","Europe","Euro Area",55.207,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-03-01","pmi_composite","pmi_ea","Europe","Euro Area",54.413,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-04-01","pmi_composite","pmi_ea","Europe","Euro Area",53.871,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-05-01","pmi_composite","pmi_ea","Europe","Euro Area",53.537,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-06-01","pmi_composite","pmi_ea","Europe","Euro Area",52.91,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-07-01","pmi_composite","pmi_ea","Europe","Euro Area",52.26,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-08-01","pmi_composite","pmi_ea","Europe","Euro Area",51.176,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-09-01","pmi_composite","pmi_ea","Europe","Euro Area",51.16,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-10-01","pmi_composite","pmi_ea","Europe","Euro Area",50.538,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-11-01","pmi_composite","pmi_ea","Europe","Euro Area",49.874,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2015-12-01","pmi_composite","pmi_ea","Europe","Euro Area",48.085,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-01-01","pmi_composite","pmi_ea","Europe","Euro Area",48.298,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-02-01","pmi_composite","pmi_ea","Europe","Euro Area",48.754,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-03-01","pmi_composite","pmi_ea","Europe","Euro Area",48.882,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-04-01","pmi_composite","pmi_ea","Europe","Euro Area",47.717,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-05-01","pmi_composite","pmi_ea","Europe","Euro Area",47.264,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-06-01","pmi_composite","pmi_ea","Europe","Euro Area",47.306,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-07-01","pmi_composite","pmi_ea","Europe","Euro Area",47.968,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-08-01","pmi_composite","pmi_ea","Europe","Euro Area",47.288,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-09-01","pmi_composite","pmi_ea","Europe","Euro Area",47.234,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-10-01","pmi_composite","pmi_ea","Europe","Euro Area",46.698,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-11-01","pmi_composite","pmi_ea","Europe","Euro Area",47.347,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2016-12-01","pmi_composite","pmi_ea","Europe","Euro Area",46.962,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2017-01-01","pmi_composite","pmi_ea","Europe","Euro Area",47.374,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2017-02-01","pmi_composite","pmi_ea","Europe","Euro Area",46.523,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2017-03-01","pmi_composite","pmi_ea","Europe","Euro Area",46.8,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
"2017-04-01","pmi_composite","pmi_ea","Europe","Euro Area",46.742,"left","index","SP Global PMI","https://www.spglobal.com/market-intelligence/en/mi/products/pmi.html"
